num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
293,-2.2,0.2,0,0,2.2,-0.2,2.209072203437452,-1.309002018067786,-1.3151491424108082
294,-2.1,0.1,0,0,2.1,-0.1,2.1023796041628637,-1.305183118164321,-1.358976134240846
295,-2.1,0.1,0,0,2.1,-0.1,2.1023796041628637,-1.7351707561016094,-0.969527555942535
296,-2.0,0.0,0,0,2.0,0.0,2.0,-1.3288324687423507,-1.4151444459018907
297,-1.9,0.1,0,0,1.9,-0.1,1.9026297590440446,-1.3125417857964117,-0.5705770047504972
298,-1.8,0.1,0,0,1.8,-0.1,1.8027756377319946,-1.3887796652036632,-0.9651085431575773
299,-1.7,0.2,0,0,1.7,-0.2,1.7117242768623688,-1.289805042617452,-0.5147342368294112
300,-1.6,0.2,0,0,1.6,-0.2,1.61245154965971,-1.2806459616282146,-0.9061709454059598
301,-1.5,0.2,0,0,1.5,-0.2,1.5132745950421556,-1.2510445215421515,-0.902235679388046
302,-1.3,0.3,0,0,1.3,-0.3,1.3341664064126335,-0.7969733582751378,-0.4591902427085445
303,-1.0,0.3,0,0,1.0,-0.3,1.044030650891055,-0.28108602534585536,-0.8391740722656247
304,-0.9,0.3,0,0,0.9,-0.3,0.9486832980505138,-1.0897038248905426,-0.8318493342399593
305,-0.6,0.4,0,0,0.6,-0.4,0.7211102550927979,-0.10482559445476025,-0.38573844219239317
306,-0.3,0.4,0,0,0.3,-0.4,0.5,0.055196345626484566,-0.7649213080406188
